file_path;filename;mistral_is_doc_id;mistral_id_doc_type;mistral_doc_type;azure_is_doc_id;azure_id_doc_type;azure_doc_type;mistral_vision_is_doc_id;mistral_vision_id_doc_type;mistral_vision_doc_type;azure_vision_is_doc_id;azure_vision_id_doc_type;azure_vision_doc_type;aligned
dataset/false_doc;12031810-405818722.jpg;True;proof_of_residency;administrative;False;not_identity_doc;administrative letter;True;proof_of_residency;official_request_for_vehicle_registration_documents;False;not_identity_doc;official letter regarding vehicle registration (carte grise) requirements;False
dataset/false_doc;facture-d-avoir-exemple-744x1024-2687424784.jpg;False;not_identity_doc;credit_note;False;not_identity_doc;avoir;False;not_identity_doc;credit_note;False;not_identity_doc;credit note;False
dataset/false_id;1-18900169.jpg;True;id card;identity card;True;not_identity_doc;CARTE D'ETUDIANT;;;;True;id card;student id and voter card;False
dataset/false_id;1-842369233.jpg;True;proof_of_residency;residence_permit;True;proof_of_residency;TITRE DE SÉJOUR;True;proof_of_residency;Titre de Séjour (French Residence Permit);True;proof_of_residency;titre de séjour;False
dataset/false_id;Document-d-identite-2.jpg;True;passport;passport;True;passport;PASSEPORT;True;passport;travel_document;True;passport;passport;False
dataset/false_id;ID_passport_USA-2021-497107151.jpg;True;passport;passport;True;passport;PASSPORT;True;passport;United States of America Passport;True;passport;United States passport;False
dataset/false_id;IMG_6211_LegalPhoto-1697863245.jpg;True;id card;identity document;True;not_identity_doc;photo identification sheet;True;id card;Legal Identity Photo Pass (French ID photo standard compliance);True;not_identity_doc;identity_photo_sheet;False
dataset/false_id;carte-d-identite-ce-qui-change-en-bretagne_3173729_676x450p-2581207544.jpg;True;id card;national identity card;True;id card;CARTE NATIONALE DIDENTITÉ;True;id_card;Carte Nationale d’Identité (French National Identity Card);True;id card;French national identity card;False
dataset/false_id;csm_CA_RPC_2021_1920_4c0a2d9287-515808575.jpg;True;proof_of_residency;Permanent Resident Card;True;id card;PERMANENT RESIDENT CARD;True;id card;Permanent Resident Card;True;proof_of_residency;permanent resident card;False
dataset/false_id;les-faux-papiers-ne-sont-pas-toujours-facilement-identifiables-photo-er-arnaud-castagne-1670082236-3420960911.jpg;True;id card;identity card;True;id card;CARTA DI IDENTITÀ;True;id_card;"{""primary"": ""Italian Identity Card (Carta d\u2019Identit\u00e0)"", ""secondary"": [""Driver's License (Patente di Guida)"", ""Passport (Passaporto)""]}";True;passport;passport, id card, driver license;False
dataset/false_id;vias-pages-3783188661.jpg;False;not_identity_doc;station record;False;not_identity_doc;VISIT PASS;True;passport;travel_document;True;passport;passport;False
dataset/id_cards;0b43b0c-frenchID-3907357441.jpg;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;Carte Nationale d’Identité (French National Identity Card);True;id card;French National Identity Card;False
dataset/id_cards;1-2471433401.jpg;True;id card;national identity card;True;id card;البطاقة الوطنية للتعريف;True;id_card;Moroccan National Identity Card;True;id card;national identity card;False
dataset/id_cards;1-3118488783.jpg;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;Carte Nationale d’Identité (French National Identity Card);True;id card;French national identity card;False
dataset/id_cards;1-4014550170.jpg;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;Carte Nationale d'Identité (French National Identity Card);True;id card;French national identity card;False
dataset/id_cards;21-french-identity-card-1988-1994-PCBNWG-3644828505.jpg;True;id card;national identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;Carte Nationale d'Identité (French National Identity Card);True;id card;French national identity card;False
dataset/id_cards;66e4b41eacf401726264350-445115958.jpg;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;French National Identity Card (Carte Nationale d’Identité);True;id card;French national identity card;False
dataset/id_cards;big-picture-id-photo-2017-06-20-01-1282880992.jpg;True;id card;national identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;Carte Nationale d'Identité (French National Identity Card);True;id card;French National Identity Card;False
dataset/id_cards;depositphotos_5111236-French-national-identity-card-female-3491414765.jpg;True;id card;national identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id card;Carte Nationale d'Identité (French National Identity Card);True;id card;French national identity card;False
dataset/id_cards;fnic-jpg-1994132894.jpg;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITÉ / IDENTITY CARD;True;id card;French National Identity Card (Carte Nationale d'Identité);True;id card;French national identity card;False
dataset/id_cards;french-id-card-real-french-id-card-french-identity-card-with-french-id-card-template-1565833240.jpg;True;id card;national identity card;True;id card;CARTE NATIONALE D'IDENTITÉ;True;id_card;French National Identity Card (Carte Nationale d'Identité);True;id card;French national identity card;False
dataset/jdd;1-1822160908.jpg;False;not_identity_doc;telephone_bill;False;not_identity_doc;facture;False;not_identity_doc;telecom_bill;False;not_identity_doc;utility_bill;False
dataset/jdd;1689160419-3971040533.jpg;False;not_identity_doc;invoice;False;not_identity_doc;avis d'échéance;False;not_identity_doc;rental_payment_notice;False;not_identity_doc;rent_invoice;False
dataset/jdd;1719685377-1436965417.jpg;False;not_identity_doc;utility_bill;False;not_identity_doc;attestation titulaire de contrat;False;not_identity_doc;attestation_titulaire_de_contrat;False;not_identity_doc;proof_of_residency;False
dataset/jdd;exemple-de-justificatif-de-domicile-3015945657.jpg;False;not_identity_doc;utility_bill;False;not_identity_doc;electricity bill;False;not_identity_doc;utility_bill;False;not_identity_doc;electricity bill;False
dataset/jdd;facture-EDF-page-1-1270172759.jpg;False;not_identity_doc;utility_bill;False;not_identity_doc;facture;False;not_identity_doc;utility_bill;False;not_identity_doc;utility_bill;False
dataset/passports;1683728325-20230510-new-passport-canada-4-3997758989.jpg;True;passport;passport;True;passport;passport;True;passport;government_issued_travel_document;True;passport;Canadian passport;False
dataset/passports;196079-3573231712.jpg;True;passport;passport;True;passport;passport;True;passport;government_issued_passport;True;passport;passport;False
dataset/passports;DelpEphraim_Passport-001-4263437215.jpg;True;passport;passport;True;passport;passport;True;passport;United States of America Passport;True;passport;passport;False
dataset/passports;Ecp5OYUWAAAdVec-2854078686.jpg;True;passport;passport;True;passport;passport;True;passport;Indian Passport;True;passport;Indian Passport;False
dataset/passports;Standard-passport-2638612431.jpg;True;passport;passport;True;passport;passport;True;passport;United Kingdom Passport (specimen);True;passport;UK passport;False
dataset/passports;french-diplomatic-passport-v0-0xptroj0uxia1-1085992610.jpg;True;passport;diplomatic passport;True;passport;passeport diplomatique;True;passport;Diplomatic Passport;True;passport;diplomatic passport;False
dataset/passports;passeport-controle-4-3813735177.jpg;True;passport;passport;True;passport;passport;True;passport;government_issued_travel_document;True;passport;passport;False
dataset/passports;passport-1-1721243253.jpg;True;passport;passport;True;passport;passport;True;passport;passport;True;passport;passport;True
dataset/false_doc;Voorbeeld-factuur-FR-1950745723.png;False;not_identity_doc;invoice;False;not_identity_doc;facture;False;not_identity_doc;invoice;False;not_identity_doc;invoice;False
dataset/false_doc;facture-proforma-1025995893.png;False;not_identity_doc;invoice;False;not_identity_doc;Facture Proforma;False;not_identity_doc;proforma_invoice;False;not_identity_doc;invoice;False
dataset/id_cards;France-ID-Card-front-1-4214685582.png;True;id card;identity card;True;id card;CARTE NATIONALE D'IDENTITE / IDENTITY CARD;True;id_card;French National Identity Card (Carte Nationale d'Identité);True;id card;French national identity card;False
dataset/passports;France-pass-1-3091894550.png;True;passport;passport;True;passport;passport;True;passport;government_issued_travel_document;True;passport;passport;False
dataset/passports;_133028110_passport_dates_2x640-nc-2868492495.png;True;passport;passport;True;passport;passport;True;passport;UK_Specimen_Passport;True;passport;passport;False
dataset/passports;public-3423989802.png;True;passport;passport;True;passport;passport;True;passport;REPUBLIC_FRENCH_PASSPORT;True;passport;French passport;False
